"Country",2021,2022,2023
"ASIA",,,
"Korea, Rep. of",32.09,33.16,31.69
"Armenia",20.69,19.40,23.25
"Azerbaijan",17.31,16.60,17.16
"Bahrain",28.35,29.94,33.83
"Bangladesh",31.02,32.05,31.25
"Bhutan",34.51,39.44,50.36
"Brunei Darussalam",31.27,30.09,35.00
"Cambodia",25.50,25.00,25.00
"China",43.29,43.88,43.99
"Cyprus",18.07,19.94,20.17
"Timor-Leste",14.44,31.93,19.12
"Georgia",22.03,21.78,21.09
"Hong Kong",16.78,15.00,14.55
"India",31.23,31.62,32.44
"Indonesia",31.45,29.75,29.74
"Iran",41.32,40.33,40.00
"Israel",24.78,26.30,26.31
"Japan",25.60,26.64,25.94
"Jordan",18.72,18.17,18.25
"Kazakhstan",26.41,24.90,25.13
"Kuwait",17.98,18.21,19.73
"Kyrgyzstan",24.76,22.84,24.03
"Macao",23.13,26.20,18.38
"Malaysia",22.27,23.89,24.32
"Maldives",20.00,20.00,20.00
"Mongolia",36.72,40.64,43.90
"Myanmar",32.29,32.29,32.29
"Nepal",35.78,37.25,35.97
"Oman",22.41,23.20,23.50
"Pakistan",14.65,15.14,14.31
"Philippines",21.18,24.78,24.59
"Saudi Arabia",25.13,27.28,26.59
"Singapore",23.08,21.92,25.12
"Sri Lanka",35.26,26.77,27.98
"Taiwan",26.96,27.78,27.84
"Tajikistan",16.76,21.46,22.55
"Thailand",28.63,27.87,25.61
"Turkiye",31.88,35.05,31.00
"U. A. E.",22.96,25.47,26.30
"Uzbekistan",40.13,39.04,38.45
"Viet Nam",33.47,33.41,32.60
"Yemen",5.89,5.85,6.79
"West Bank and Gaza",25.45,26.76,24.66
"NORTH AMERICA",,,
"Canada",23.81,24.54,23.26
"Mexico",20.73,21.60,21.37
"United States",21.10,21.55,20.95
"SOUTH AMERICA",,,
"Antigua & Barbuda",42.92,39.62,37.15
"Argentina",20.17,19.26,17.43
"Bahamas",29.82,24.79,23.12
"Barbados",18.17,17.62,17.45
"Belize",23.76,22.47,21.92
"Bolivia",16.84,16.88,14.49
