상영관명,상영관소재지(지번),상영관소재지(도로명)
메가박스중앙(주)부산대지점 1관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 2관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 3관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 4관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 5관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 6관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
메가박스중앙(주)부산대지점 7관,부산광역시 금정구 장전동 292-4번지 라퓨타아일랜드 ,부산광역시 금정구 장전로12번길 55
롯데컬처웍스(주)롯데시네마오투 1관,부산광역시 금정구 장전동 298-2번지,부산광역시 금정구 중앙대로 1607
롯데컬처웍스(주)롯데시네마오투 2관,부산광역시 금정구 장전동 298-3번지,부산광역시 금정구 중앙대로 1608
롯데컬처웍스(주)롯데시네마오투 3관,부산광역시 금정구 장전동 298-4번지,부산광역시 금정구 중앙대로 1609
롯데컬처웍스(주)롯데시네마오투 4관,부산광역시 금정구 장전동 298-5번지,부산광역시 금정구 중앙대로 1610
롯데컬처웍스(주)롯데시네마오투 5관,부산광역시 금정구 장전동 298-6번지,부산광역시 금정구 중앙대로 1611
롯데컬처웍스(주)롯데시네마오투 6관,부산광역시 금정구 장전동 298-7번지,부산광역시 금정구 중앙대로 1612
롯데컬처웍스(주)롯데시네마오투 7관,부산광역시 금정구 장전동 298-8번지,부산광역시 금정구 중앙대로 1613
